Id;Brand;Model;Generation;Version;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Avg weight;Price
650;renault;grand-espace;espace 6 (2023 - present);espace 6;472.2;184.3;164.5;273.8;1199;1199;199;199;1755.5;73982.125
651;renault;grand-scenic;i;scenic 3 phase 2;436.6;184.5;164.0;269.4;1199;1997;110;140;1505.0;36058.71875
652;renault;grand-scenic;i;scenic 3 phase 1;434.4;184.5;163.7;270.2;1997;1997;140;140;1537.5;36058.71875
653;renault;grand-scenic;i;grand scenic 3 phase 3;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;36058.71875
654;renault;grand-scenic;i;grand scenic 3 phase 2;457.3;184.5;164.5;276.9;1199;1997;110;140;1576.0;36058.71875
655;renault;grand-scenic;i;grand scenic 3 phase 1;456.0;184.5;164.5;277.0;1997;1997;140;140;1603.5;36058.71875
656;renault;grand-scenic;i;scenic 3 phase 2;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;36058.71875
657;renault;grand-scenic;i;scenic 3 phase 1;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;36058.71875
658;renault;grand-scenic;i;grand scenic 3 phase 3;457.3;184.5;164.5;277.0;1199;1199;131;131;1576.0;36058.71875
659;renault;grand-scenic;i;grand scenic 3 phase 2;457.3;184.5;164.5;276.9;1199;1997;110;140;1576.0;36058.71875
660;renault;grand-scenic;i;grand scenic 3 phase 1;456.0;184.5;164.5;277.0;1997;1997;140;140;1603.5;36058.71875
661;renault;grand-scenic;mă©gane scă©nic (1996 - 2003);scenic rx4;444.0;178.0;173.0;262.0;1998;1998;139;140;1500.0;9033.333333333334
662;renault;grand-scenic;mă©gane scă©nic (1996 - 2003);megane scenic;413.0;172.0;160.0;258.0;1390;1998;75;115;1232.5;36058.71875
663;renault;grand-scenic;scă©nic 2 (2003 - 2009);scenic 2 phase 2;425.9;181.0;164.0;268.5;1390;1998;98;163;1485.0;36058.71875
664;renault;grand-scenic;scă©nic 2 (2003 - 2009);grand scenic 2 phase 2;450.0;181.0;164.0;274.0;1598;1998;110;165;1447.5;36058.71875
665;renault;grand-scenic;scă©nic 2 (2003 - 2009);grand scenic 2 phase 1;449.0;181.0;164.0;274.0;1598;1998;115;165;1465.0;36058.71875
666;renault;grand-scenic;scă©nic 2 (2003 - 2009);scenic 2 phase 1;425.9;180.5;162.1;268.5;1390;1998;98;163;1427.5;10159.3125
667;renault;grand-scenic;scă©nic 3 (2009 - 2016);scenic 3 phase 2;436.6;184.5;164.0;269.4;1199;1997;110;140;1505.0;36058.71875
668;renault;grand-scenic;scă©nic 3 (2009 - 2016);scenic 3 phase 1;434.4;184.5;163.7;270.2;1997;1997;140;140;1537.5;36058.71875
669;renault;grand-scenic;scă©nic 3 (2009 - 2016);grand scenic 3 phase 2;457.3;184.5;164.5;276.9;1199;1997;110;140;1576.0;36058.71875
670;renault;grand-scenic;scă©nic 3 (2009 - 2016);grand scenic 3 phase 1;456.0;184.5;164.5;277.0;1997;1997;140;140;1603.5;36058.71875
671;renault;grand-scenic;scă©nic 4 (2017 - 2023);grand scenic 4;463.4;186.6;165.3;280.4;1199;1332;115;160;1559.5;36058.71875
672;renault;kadjar;kadjar 1 phase 1 - 2016 new model (2015 - 2018);kadjar 1 phase 1;444.9;183.6;160.7;264.6;1199;1618;131;163;1496.0;66162.46875
673;renault;kangoo;1 (1997 - 2010);kangoo 1 phase 2;404.0;167.0;182.0;260.0;0;0;0;0;1182.5;25573.28125
674;renault;kangoo;1 (1997 - 2010);kangoo 1 phase 1;399.5;166.3;182.7;260.0;1149;1598;60;95;1157.5;25573.28125
675;renault;kangoo;kangoo 2 (2007 - 2021);kangoo 2 phase 2 express;428.2;182.9;184.4;269.7;0;0;0;0;1485.0;25573.28125
676;renault;kangoo;kangoo 2 (2007 - 2021);kangoo 2 phase 2;425.5;182.9;189.9;269.7;1199;1598;106;116;1540.0;24504.125
677;renault;kangoo;kangoo 2 (2007 - 2021);kangoo 2 phase 1;403.5;167.2;180.0;260.5;1598;1598;87;106;1359.0;24504.125
678;renault;kangoo;kangoo 3 phase 1 - 2021 new model (2021 - present);kangoo van 3;448.6;191.9;186.4;271.6;1333;1333;100;130;1452.0;133838.8
679;renault;koleos;koleos ii phase 1 (2017 - present);koleos 2 phase 1;467.3;184.3;167.8;270.5;0;0;0;0;1693.0;93638.0625
680;renault;koleos;phase 1 (2008 - 2011);koleos 1 phase 1;452.0;186.5;171.0;269.0;0;0;0;0;1754.0;31215.625
681;renault;koleos;phase 2 (2011 - 2013);koleos 1 phase 2;452.0;185.5;171.0;269.0;0;0;0;0;1754.0;58249.96875
682;renault;koleos;phase 3 (2013 - 2015);koleos 1 phase 3;452.0;185.5;171.0;269.0;0;0;0;0;1754.0;58249.96875
683;renault;laguna;1 (1994 - 2001);laguna 1 phase 2;451.0;175.0;143.0;267.0;1598;2946;95;194;1315.0;4649.875
684;renault;laguna;1 (1994 - 2001);laguna 1 phase 1;451.0;175.0;143.0;267.0;1783;2963;95;194;1298.5;4649.875
685;renault;laguna;1 (1994 - 2001);laguna 1 break phase 2;462.8;175.2;147.0;267.0;1998;1998;139;139;1355.0;4649.875
686;renault;laguna;2 (2001 - 2007);laguna 2 phase 2 break;471.3;177.4;143.9;274.8;1598;2946;111;207;1492.5;7882.125
687;renault;laguna;2 (2001 - 2007);laguna 2 phase 2;459.8;177.4;143.3;274.8;1598;2946;111;210;1407.5;7882.125
688;renault;laguna;2 (2001 - 2007);laguna 2 phase 1 break;469.5;177.2;144.3;274.8;1783;2946;121;207;1460.0;7882.125
689;renault;laguna;2 (2001 - 2007);laguna 2 phase 1;457.6;177.2;142.9;274.8;1598;2946;107;207;1427.5;7882.125
690;renault;laguna;3 (2007 - 2015);laguna 3 coupe phase 2;464.3;181.2;139.8;269.4;1998;3498;170;238;1566.5;27558.90625
691;renault;laguna;3 (2007 - 2015);laguna 3 coupe;464.3;181.2;139.8;269.4;1998;3498;170;238;1604.0;27558.90625
692;renault;laguna;3 (2007 - 2015);laguna 3 phase 2 grand tour;480.3;181.1;144.5;275.6;1997;1998;140;204;1511.5;23001.4375
